입주형태통합코드,자산,부채,경상소득
1,124800,18000,9535
1,31310,6000,1534
1,22765,5500,3500
1,17216,0,1538
1,23920,0,7217
1,29500,14500,1931
1,103500,28800,2442
1,13751,0,2408
1,75820,14900,5236
1,105561,17000,3912
1,81300,26800,14584
1,4840,700,3772
1,53767,5000,2059
1,10812,0,4038
1,60370,0,1066
1,84700,11670,5982
1,45128,4400,11457
1,29520,1783,8410
1,65600,25000,3169
1,7744,0,920
1,10465,0,1983
1,11890,0,2796
1,26400,0,1616
1,167148,319,14351
1,336930,0,13142
1,43356,11000,9352
1,27500,0,3905
1,93640,0,6243
1,15250,100,3083
1,21421,1480,6074
1,85280,1000,3484
1,14538,1370,1146
1,110051,46500,9657
1,15966,400,8509
1,39832,10000,9034
2,50904,30000,4321
2,41960,0,13739
2,7570,300,4519
2,8350,0,1400
2,49100,0,3909
2,7231,3000,880
2,23650,14300,3378
2,23020,0,5700
2,81932,0,9076
2,29399,3508,8061
2,98600,17000,8686
2,195218,0,5782
2,20300,0,1256
2,175770,40000,11827
2,21150,0,10222
2,23880,0,2068
2,19598,110,1378
2,18051,1500,5919
2,32950,4655,4567
2,57040,0,4500
2,11192,0,6877
2,21150,8000,7078
2,4990,3600,2183
2,87958,6660,2373
2,14850,750,2755
2,2086,300,1609
2,88100,0,12271
2,22500,0,10063
2,8320,0,1956
2,40860,0,6661
2,15690,0,600
2,82346,5000,16649
2,21830,0,10600
2,144920,45000,5432
2,73342,23000,9210
2,307115,96000,7943
2,28060,0,11607
2,25186,6000,3453
2,5900,1000,4518
2,16830,646,10604
2,204256,25000,6656
2,33250,0,6518
2,27946,11850,3925
2,1920,500,2106
2,21524,6080,10118
2,132904,50,15646
2,15780,8800,4014
2,81520,0,9910
2,560,0,1050
2,107500,25000,9098
2,46800,0,8417
2,7010,50,1126
2,17692,6866,3479
2,20020,0,8682
2,32440,6000,5516
2,11510,10030,2569
2,63176,0,6467
2,30770,10000,6030
2,27274,6500,9069
2,14100,0,5219
2,67892,19000,5814
2,4903,950,2617
2,2592,1100,2131
2,6264,1000,1734
2,198980,40000,14146
2,161012,20000,30848
2,16514,0,5356
2,16998,10700,6203
2,8280,600,3052
2,27150,0,4208
2,297400,22000,19014
2,9300,0,1067
2,240,0,948
2,67700,5008,6287
2,66700,5000,19296
2,34850,20000,3622
2,26000,0,2672
2,6435,1400,2373
2,11015,0,5716
2,9874,4300,4090
2,20755,0,8010
2,45856,20700,6920
2,18950,22900,4422
2,5845,0,1070
2,25410,19000,5751
2,80980,41000,5074
2,17360,50,541
2,161903,29000,21324
2,11790,5000,2597
2,50844,0,4009
2,5700,0,1178
2,7464,0,4507
2,254,450,855
2,7825,27,1858
2,19230,10000,3990
2,18600,13500,15245
2,2350,0,909
2,11800,0,2294
2,26074,18824,9304
2,10246,2011,3992
2,4420,0,4192
2,20120,0,5072
2,6030,0,1619
2,14040,9550,4527
2,76045,0,7299
2,11770,6780,3387
2,26700,0,7957
2,39728,20,1561
2,14806,6680,4104
2,8350,0,6219
2,1820,0,1136
2,26242,9000,6984
2,34220,10000,6683
2,11230,300,3595
2,7372,20,961
2,34500,0,7379
2,80510,7400,10169
2,86092,7000,10185
2,57300,0,1148
2,29286,19800,11218
2,16500,0,2218
2,21092,7000,5814
2,13860,10000,7215
2,1656,0,1464
2,3300,0,1211
2,20350,0,3609
2,20368,700,11149
2,25600,3000,8906
2,34696,8000,6885
2,1360,602,1154
2,44156,10000,1672
2,73300,20000,10887
2,389280,50900,21966
2,4534,0,696
2,34800,5100,13719
2,15220,0,1881
2,52700,0,8046
